N,P,K,temperature,humidity,ph,rainfall,Area,Season,Production,label
6,57,22,24.21610338,59.79236306,8.869532817,42.24783476,993,Kharif     ,1888,mothbeans
17,57,20,28.50677929,45.20094476,3.793575185,66.1761456,2081,Kharif     ,1521,mothbeans
4,57,20,25.97948991,64.95585424,4.193189124,72.19245835,3295,Kharif     ,3450,mothbeans
9,57,16,30.88482722,41.36561835,7.661537348,55.053805,2178,Kharif     ,6175,mothbeans
25,57,24,25.5042419,61.66852372,9.392694614,65.07981523,877029,Kharif     ,362213,mothbeans
36,57,21,25.12528913,51.33189406,4.516154055,38.48678973,410,Kharif     ,107,mothbeans
21,57,20,27.10508014,63.56791363,5.794289715,62.20279647,3759,Kharif     ,3879,mothbeans
37,57,20,31.1006247,44.82069159,7.354286985,70.79934452,5958,Kharif     ,21538,mothbeans
32,57,18,26.45707778,56.40226277,5.993513566,64.16167699,1078,Kharif     ,747,mothbeans
29,57,20,30.04132304,63.56222995,8.620107545,31.83192392,985,Kharif     ,17025,mothbeans
25,57,18,27.77799528,54.82130787,9.45949344,50.28438729,1429,Kharif     ,301,mothbeans
10,57,24,30.99256944,43.02151392,8.0344125,58.27600682,2303,Kharif     ,4394,mothbeans
23,57,18,26.4908332,47.36534833,5.414492777,36.99362831,25008,Kharif     ,69972,mothbeans
9,57,23,31.96987867,57.17377029,6.276004336,64.25520357,854,Kharif     ,455,mothbeans
3,57,21,25.36140526,46.82652785,9.160691747,55.60523179,421,Kharif     ,232,mothbeans
22,57,22,25.54249137,56.96640758,7.887658711,48.46797044,69,Kharif     ,24,mothbeans
12,57,21,28.99319096,62.85948245,8.183844843,70.4713043,66,Rabi       ,125,mothbeans
39,57,22,29.34317422,60.50320928,9.072011412,34.03335472,58,Rabi       ,214,mothbeans
32,57,16,28.63618921,61.39451307,7.702287236,68.54877876,49105,Rabi       ,48172,mothbeans
30,57,15,24.83206631,44.17085032,5.88509677,52.0810886,22006,Rabi       ,29752,mothbeans
19,57,22,25.44689075,58.55363573,6.16496284,57.04826619,205,Rabi       ,77,mothbeans
4,57,15,31.01274943,62.40392519,3.504752314,63.77192383,12931,Rabi       ,9970,mothbeans
21,57,20,27.06179658,52.3003173,7.388007483,60.74583498,29,Rabi       ,11,mothbeans
35,57,25,27.0956288,42.26206161,8.340398059,71.1271039,1435,Rabi       ,10721,mothbeans
22,57,24,28.56800579,57.30636014,8.66077954,64.53027638,16,Rabi       ,5,mothbeans
35,57,17,28.79929247,49.84213387,3.558822825,40.85534718,381,Rabi       ,9063,mothbeans
17,57,17,27.94293692,45.41393636,5.9565851,69.66289997,472,Rabi       ,752,mothbeans
28,57,17,30.47757686,61.58245338,9.416003106,61.86633917,23142,Rabi       ,55587,mothbeans
22,57,16,30.58139475,50.77148138,8.18422855,64.58559639,162,Rabi       ,33,mothbeans
11,57,19,26.85911286,41.81420849,5.131779302,44.13827124,11,Rabi       ,7,mothbeans
38,57,18,26.31051759,61.18749126,6.294130313,35.73403813,297,Rabi       ,175,mothbeans
23,57,24,28.77833449,44.2252605,7.991902443,33.95825723,268,Whole Year ,214,mothbeans
25,57,20,28.90245417,43.35365671,8.923095695,71.90018566,303,Whole Year ,16231,mothbeans
40,57,20,29.37687468,57.69622912,6.878498176,38.34303462,836,Whole Year ,3358992,mothbeans
23,57,19,24.17093241,58.25204566,5.243634849,59.18953429,2962,Whole Year ,900,mothbeans
2,57,23,26.65333029,59.79023382,7.550090941,36.91852635,227,Whole Year ,20612,mothbeans
3,57,17,28.19912143,53.50567601,8.709291688,52.13580529,48677,Whole Year ,8401,mothbeans
26,57,25,28.76488954,52.62741529,7.792508068,55.21606732,23,Whole Year ,121,mothbeans
39,57,20,29.3499706,61.25353851,8.055908858,40.82840673,1,Whole Year ,1,mothbeans
27,57,20,28.00937423,52.60950014,4.397698806,36.01203025,2,Whole Year ,15,mothbeans
24,57,19,26.85851927,48.8246387,5.952384957,34.7426459,26244,Kharif     ,3543,mothbeans
7,57,17,31.2123945,40.92604945,8.532078733,53.78769958,620,Kharif     ,189,mothbeans
15,57,23,24.20422636,61.43378674,7.224193642,46.0203959,899,Kharif     ,451,mothbeans
26,57,23,29.98835437,49.60384796,4.931890506,52.92929636,1506,Kharif     ,1940,mothbeans
20,57,16,29.93964907,54.61813464,4.626212446,45.43669946,1754,Kharif     ,5658,mothbeans
34,57,24,31.2119298,41.55934359,5.026003659,68.80141783,644007,Kharif     ,43148,mothbeans
19,57,25,26.80474415,48.23991436,3.5253661,43.87801983,1021,Kharif     ,182,mothbeans
29,57,21,31.49398069,62.84916863,8.86979671,64.56807592,18043,Kharif     ,7813,mothbeans
20,57,22,30.99694676,46.42693735,9.406887533,38.31597852,4877,Kharif     ,20181,mothbeans
11,57,23,29.61253065,63.04749127,5.80428611,50.1978269,788,Kharif     ,98,mothbeans
15,57,15,29.97604322,57.03184356,8.35495812,44.86052932,869,Kharif     ,9423,mothbeans
35,57,22,30.88883074,52.62696801,8.634929739,55.51932414,742,Kharif     ,135,mothbeans
9,57,25,30.39321309,60.16299493,7.699200949,35.37493212,2035,Kharif     ,3696,mothbeans
40,57,18,30.43683729,55.20522037,5.261285926,30.92014047,22349,Kharif     ,67427,mothbeans
35,57,19,25.32688786,63.18180319,9.112771682,32.71129281,450,Kharif     ,48,mothbeans
14,57,17,30.53684308,59.96664731,4.605700542,33.48919022,69,Kharif     ,26,mothbeans
40,57,18,30.38257873,40.5926071,7.115994051,47.95406479,141,Rabi       ,43,mothbeans
18,57,23,24.01825377,53.76623369,7.214078621,35.03404425,10,Rabi       ,37,mothbeans
35,57,15,28.69841277,61.14754363,9.93509073,65.67591794,83533,Rabi       ,30739,mothbeans
4,57,22,29.33743412,49.00323081,8.914074888,42.44054315,18104,Rabi       ,18991,mothbeans
22,57,16,27.96583691,61.34900107,8.639586199,70.10472076,1779,Rabi       ,882,mothbeans
33,57,17,24.86803974,48.27531965,8.621514073,63.9187654,24944,Rabi       ,15440,mothbeans
2,57,17,25.87682261,45.96341933,5.838508699,38.53254678,15,Rabi       ,4,mothbeans
16,57,21,31.01963639,49.9767522,3.532008668,32.81296548,3120,Rabi       ,23640,mothbeans
19,57,20,27.43329405,87.80507732,7.18530147,54.73367631,139,Rabi       ,52,mungbean
8,57,20,28.3340432,80.77275974,7.034214276,38.7976407,167,Rabi       ,4075,mungbean
36,57,20,27.01470397,84.34262707,6.635968698,55.296354,386,Rabi       ,532,mungbean
10,57,16,28.17432665,81.04554836,6.828187499,36.35720652,10846,Rabi       ,31974,mungbean
22,57,17,29.87888063,87.32761241,6.89077995,44.75215854,72,Rabi       ,28,mungbean
9,57,24,29.89232778,89.71503316,7.165121109,42.99498978,24,Rabi       ,19,mungbean
34,57,23,28.56212158,83.24855855,6.935804256,56.48265193,190,Rabi       ,50,mungbean
31,57,25,27.53592929,85.5701901,7.196774236,53.01899249,217,Whole Year ,150,mungbean
0,57,18,29.68361658,87.93598094,6.990095452,41.82490236,289,Whole Year ,14141,mungbean
21,57,20,28.14448546,82.1193047,7.064782138,46.75690086,790,Whole Year ,6404076,mungbean
28,57,22,29.53037621,86.73346018,7.156563094,59.87232071,1389,Whole Year ,385,mungbean
17,57,17,27.88352946,86.45147631,6.364967184,44.64407105,339,Whole Year ,30937,mungbean
24,57,23,28.22471276,82.35916228,6.428054409,44.01206619,60751,Whole Year ,23561,mungbean
28,57,16,29.008124,84.96089355,6.664187809,45.91011391,25,Whole Year ,137,mungbean
21,57,21,29.75538903,86.45193297,6.637677489,37.54602719,1,Whole Year ,8,mungbean
34,57,25,29.78416743,85.16906976,6.79385576,40.77872823,37000,Kharif     ,17000,mungbean
19,57,22,27.8640132,80.4513142,6.852884643,42.83053902,1000,Kharif     ,3000,mungbean
31,57,15,27.11026483,84.96771717,7.121571293,51.52617423,2000,Kharif     ,1000,mungbean
19,57,24,27.11030369,83.64274107,6.883308033,49.11964582,3000,Kharif     ,2000,mungbean
24,57,17,28.95451232,89.07866095,6.421271178,57.65901369,2000,Kharif     ,9000,mungbean
13,57,20,29.21780035,87.93724219,6.54450214,43.1386631,876000,Kharif     ,1102000,mungbean
31,57,16,28.7420098,85.81675947,6.452006451,48.54598575,4000,Kharif     ,3000,mungbean
28,57,23,29.65021184,80.29868321,6.489259136,56.76278363,7000,Kharif     ,32000,mungbean
31,57,21,27.23924995,86.404241,6.713410626,37.31236904,1000,Kharif     ,,mungbean
33,57,15,28.95172351,81.67085323,6.510840928,56.51103293,2000,Kharif     ,38000,mungbean
34,57,21,28.18837136,82.60629652,6.287380117,37.01110438,2000,Kharif     ,4000,mungbean
13,57,25,28.30041493,86.20681554,6.86308576,50.47333854,30000,Kharif     ,95000,mungbean
33,57,17,27.89636126,88.71782287,6.78415271,57.79863368,19000,Kharif     ,10000,mungbean
32,57,22,28.6899851,87.50436797,6.769415888,44.56598352,75000,Rabi       ,78000,mungbean
23,57,25,27.8262623,88.73100226,6.320768488,56.68833819,21000,Rabi       ,28000,mungbean
35,57,18,28.70562673,81.59200689,6.705008504,59.87065439,1000,Rabi       ,,mungbean
6,57,24,28.6362812,84.61431076,6.790736339,48.48319335,12000,Rabi       ,8000,mungbean
29,57,25,28.28511547,88.4393979,7.130278657,48.56690235,6000,Rabi       ,48000,mungbean
4,57,22,27.60887393,86.13316408,7.012740397,43.80041104,14000,Rabi       ,37000,mungbean
10,57,22,28.60901145,86.99495766,7.155685016,36.94616965,26000,Rabi       ,20000,mungbean
14,57,21,29.24598976,84.80084105,6.991242362,53.43228915,34067,Kharif     ,13150,mungbean
8,57,21,28.62911222,89.1148059,6.218923893,50.49913241,743,Kharif     ,1011,mungbean
20,57,15,29.57329479,88.07505524,7.199495368,45.04467075,886,Kharif     ,668,mungbean
36,57,22,27.82684262,87.16679147,6.389882166,58.37249772,1611,Kharif     ,1241,mungbean
14,57,15,29.8757015,83.14796296,6.623438282,40.12044158,1574,Kharif     ,5506,mungbean
11,57,23,27.33684386,88.50229102,7.033012777,51.09802625,853577,Kharif     ,75115,mungbean
10,57,15,29.83040388,89.30428305,6.32400451,58.86687093,295,Kharif     ,165,mungbean
7,57,25,28.2753171,82.76020821,6.397636709,56.04995423,1782,Kharif     ,2204,mungbean
2,57,15,29.86860065,85.99127934,6.401455706,58.41394143,6041,Kharif     ,20896,mungbean
20,57,22,29.5888162,89.9939693,6.904587016,54.96121262,629,Kharif     ,245,mungbean
2,57,15,28.07219563,82.9116472,6.478557136,49.61865305,1376,Kharif     ,23531,mungbean
27,57,24,27.84026517,89.99615558,7.063022095,52.84626009,60,Kharif     ,30,mungbean
35,57,15,27.10818093,87.4512669,6.981758362,55.03723979,1460,Kharif     ,3678,mungbean
4,57,25,27.68515114,81.94268594,6.227134139,54.62243308,30306,Kharif     ,94615,mungbean
1,57,24,29.34594634,85.60472562,6.232836962,59.03629954,112,Kharif     ,88,mungbean
36,57,21,28.36319404,84.8593608,7.140437859,52.93031105,182,Kharif     ,248,mungbean
11,57,24,27.65280218,89.80650642,6.459252023,56.52558045,26,Rabi       ,35,mungbean
34,57,19,27.31372793,85.44815232,6.568795404,53.15223123,73055,Rabi       ,68379,mungbean
21,57,18,27.06909959,86.89934108,7.12851089,50.46746116,16879,Rabi       ,24897,mungbean
17,57,20,28.06642822,85.91625451,6.42937879,39.23831035,205,Rabi       ,136,mungbean
25,57,21,27.73329078,81.13903037,6.248900919,44.17580911,12501,Rabi       ,6951,mungbean
2,57,18,27.53632932,89.92908171,6.619891498,45.48591922,14,Rabi       ,5,mungbean
9,57,20,29.66461594,84.28187572,6.377568542,56.09542002,3658,Rabi       ,32300,mungbean
37,57,25,29.9145443,85.85384444,6.415459592,41.39081525,173,Rabi       ,4129,mungbean
36,57,15,28.36363858,87.59810657,6.320662012,57.99524359,336,Rabi       ,630,mungbean
40,57,15,29.46416042,87.60890009,6.978400282,43.15411472,18416,Rabi       ,49815,mungbean
30,57,16,29.73013036,82.89166381,6.442335593,50.91511275,113,Rabi       ,44,mungbean
1,57,23,27.46852989,87.17649,7.184398832,43.78420984,164,Rabi       ,217,mungbean
9,57,22,27.77076285,87.09979549,6.402926221,49.50812624,325,Whole Year ,232,mungbean
14,57,17,29.12939524,88.48312598,7.085982325,36.45012824,3603,Whole Year ,160939,mungbean
35,57,19,27.10606808,89.89593328,6.698574085,37.45680611,786,Whole Year ,7141464,mungbean
31,57,17,28.88078945,86.94206817,6.594739424,53.79732545,3766,Whole Year ,1288,mungbean
4,57,20,28.14720892,83.8001509,6.647965508,37.44800463,131,Whole Year ,12305,mungbean
30,57,25,29.89129144,80.14487166,7.120032489,54.7960127,42268,Whole Year ,26305,mungbean
9,57,20,27.41503453,80.98004661,6.91380932,40.53173216,99,Whole Year ,158,mungbean
20,57,20,29.27308605,89.4875022,7.073048264,50.9246554,4,Whole Year ,40,mungbean
37,57,23,29.65296893,88.48587386,6.5304707,56.01913159,20269,Kharif     ,5919,mungbean
34,57,21,28.44524991,82.67639542,6.684381357,58.18713162,1722,Kharif     ,3167,mungbean
14,57,15,27.96235681,83.97586797,6.581351374,48.9366954,1332,Kharif     ,663,mungbean
23,57,22,29.25649321,81.97952224,6.86483915,42.02483277,2063,Kharif     ,1226,mungbean
5,57,21,28.36291385,88.00989267,6.487124217,43.05130077,1604,Kharif     ,4031,mungbean
22,57,20,27.62749466,86.49366929,6.605733068,39.26137642,510874,Kharif     ,113925,mungbean
40,57,17,28.66086349,86.12194568,6.860602782,50.01534317,5848,Kharif     ,3982,mungbean
27,57,20,29.2114218,87.11497805,6.41874299,51.53848218,41409,Kharif     ,25881,mungbean
31,57,22,29.40889385,86.16063492,6.365513634,53.35486977,8852,Kharif     ,43924,mungbean
38,57,21,28.02952623,84.8845732,6.556372966,36.12042927,448,Kharif     ,115,mungbean
6,57,17,28.08657178,80.35005927,6.760694228,38.14476781,1663,Kharif     ,29811,mungbean
6,57,18,29.16174608,80.28038146,6.715276663,40.16545979,57,Kharif     ,17,mungbean
24,57,17,29.8596912,80.03499648,6.666380512,50.66487502,2420,Kharif     ,3780,mungbean
25,57,19,29.06631494,83.6869203,6.626629798,43.95183726,32226,Kharif     ,101512,mungbean
32,57,21,27.38538997,88.66663953,6.702772465,58.29933073,1045,Kharif     ,63,mungbean
8,57,18,27.93034941,85.42058715,7.011030515,43.25095608,24,Kharif     ,20,mungbean
19,57,17,29.2808618,81.8009244,6.890156495,44.47427436,30,Kharif     ,9,mungbean
39,57,15,28.9973145,83.78911515,6.821747052,59.84499208,316,Rabi       ,92,mungbean
33,57,19,27.92678579,86.5543196,7.183189922,43.4826194,45,Rabi       ,83,mungbean
26,57,17,28.5474135,88.9570454,6.27258822,49.4897245,92936,Rabi       ,107248,mungbean
21,57,15,29.36488409,89.1886954,6.679127482,48.30159325,19507,Rabi       ,28051,mungbean
22,57,20,28.56149805,83.63802195,6.689825155,41.013132,4935,Rabi       ,3420,mungbean
29,57,16,28.43683487,87.91332682,6.583381939,43.12063289,17721,Rabi       ,14283,mungbean
4,57,21,28.79728147,80.45744422,6.725551062,44.30070517,4615,Rabi       ,33736,mungbean
10,57,22,28.7275267,89.12760359,7.069747814,58.52974279,8,Rabi       ,3,mungbean
4,57,19,27.95639663,83.52706038,6.921993878,43.25726752,230,Rabi       ,5665,mungbean
20,57,17,28.17458662,83.69659318,6.770955317,37.2464655,1122,Rabi       ,2458,mungbean
23,57,23,28.77653519,86.69133979,6.983130466,56.12443206,8,Rabi       ,,mungbean
25,57,21,28.438097,83.48991368,6.267684328,52.55469976,19428,Rabi       ,46899,mungbean
56,57,15,29.48439992,63.19915325,7.454532137,71.89090748,46,Rabi       ,20,blackgram
25,57,21,26.73433965,68.13999721,7.040056094,67.15096376,17,Rabi       ,13,blackgram
42,57,22,26.27274407,62.28814857,7.418650668,70.23207557,179,Rabi       ,97,blackgram
42,57,25,34.03679184,67.21113844,6.501869314,73.23573601,356,Whole Year ,169,blackgram
44,57,18,28.03644051,65.06601664,6.814410928,72.49507741,5010,Whole Year ,265981,blackgram
50,57,16,28.81460716,65.33538112,7.581442888,62.26242533,725,Whole Year ,4247685,blackgram
35,57,21,34.03619494,64.28791388,7.741418772,66.85510868,4470,Whole Year ,1797,blackgram
30,57,20,33.8642935,61.57072498,6.573531614,68.02199825,112,Whole Year ,9968,blackgram
27,57,21,32.84213012,68.68401492,7.543804223,73.67166182,55286,Whole Year ,33503,blackgram
50,57,17,27.10053268,63.36085585,6.5408208,73.84949872,13,Whole Year ,77,blackgram
39,57,24,25.65842532,61.18235808,7.22405917,69.28607828,700,Whole Year ,1179,blackgram
57,57,25,32.34744009,66.61452812,7.551364319,64.55882254,66013,Kharif     ,11156,blackgram
52,57,19,29.58949031,68.32176769,6.928898659,67.53021213,2010,Kharif     ,1465,blackgram
55,57,22,30.91219459,68.79427388,7.747775263,66.63830637,4328,Kharif     ,3795,blackgram
51,57,18,28.12787838,64.2097765,6.706505915,70.86340755,4338,Kharif     ,2977,blackgram
36,57,15,30.08545364,69.34811988,6.668238556,67.1367443,1968,Kharif     ,7307,blackgram
59,57,19,31.74379487,62.51007687,7.332375138,68.97097538,814077,Kharif     ,446928,blackgram
50,57,23,27.81326852,62.50460464,7.596802025,69.75555541,655,Kharif     ,317,blackgram
30,57,25,32.88733849,64.59457409,7.70650895,71.50569456,2606,Kharif     ,2069,blackgram
20,57,18,29.36358721,64.98742947,7.366542647,61.91208707,10726,Kharif     ,51174,blackgram
58,57,15,27.82592799,67.5861883,6.919243702,74.01229707,32,Kharif     ,286,blackgram
25,57,24,28.49538735,60.44848407,7.187721818,74.91559514,791,Kharif     ,251,blackgram
52,57,16,27.74274761,68.53997144,7.075886472,71.78615328,1620,Kharif     ,26924,blackgram
40,57,18,30.41588462,67.66323804,6.74441168,63.02473185,1,Kharif     ,,blackgram
20,57,25,27.3254209,69.09047809,6.726469088,61.19250859,1876,Kharif     ,3343,blackgram
48,57,21,30.28496619,61.69295127,6.628264883,65.62859526,34973,Kharif     ,102007,blackgram
49,57,22,28.56840626,61.53278622,7.127064207,63.49726331,371,Kharif     ,345,blackgram
48,57,15,25.36586097,66.6379724,7.538631462,65.81655892,1682,Kharif     ,2866,blackgram
32,57,17,34.9466155,65.26774011,7.162357641,70.1415139,14,Kharif     ,6,blackgram
21,57,22,25.09737391,67.72837887,6.859409487,74.61649888,5,Rabi       ,4,blackgram
20,57,19,32.47648301,64.34848735,7.397190844,65.820457,94240,Rabi       ,73601,blackgram
25,57,21,33.86351172,68.59232289,6.880245789,69.24464096,19993,Rabi       ,34068,blackgram
41,57,21,25.19857725,60.37332688,6.581313137,70.88787207,1527,Rabi       ,860,blackgram
53,57,17,31.77681682,69.01852894,7.296972161,61.46892873,13274,Rabi       ,8296,blackgram
39,57,21,34.89814946,63.59948557,6.97297656,64.72797143,4750,Rabi       ,43306,blackgram
25,57,17,31.74105409,68.63525428,7.241148507,62.3061735,83,Rabi       ,29,blackgram
21,57,19,27.16159076,66.76017239,6.92009048,69.85112265,306,Rabi       ,8233,blackgram
57,57,17,26.23773129,67.88521396,7.504608385,73.58663968,556,Rabi       ,831,blackgram
56,57,15,30.20157245,60.06534859,7.152272256,66.37171179,24828,Rabi       ,69394,blackgram
49,57,15,31.55846339,67.83563765,7.137004749,74.86960831,45,Rabi       ,31,blackgram
24,57,19,29.67892453,69.0854554,6.808041722,65.66436565,559,Rabi       ,299,blackgram
49,57,18,27.05365239,67.7017527,7.393631868,60.4693835,131,Rabi       ,171,blackgram
28,57,19,34.63880966,61.38597868,7.69950698,72.43169115,409,Whole Year ,182,blackgram
55,57,21,33.39438752,62.93692886,6.602888249,63.57445989,4416,Whole Year ,223825,blackgram
50,57,25,28.84079155,63.37230676,6.734447425,70.25496749,5323,Whole Year ,3604,blackgram
34,57,19,31.49338309,63.0563645,6.521217963,71.48327008,21,Whole Year ,236,blackgram
20,57,23,25.54960633,63.95425534,7.707332484,63.1830529,235,Whole Year ,20981,blackgram
55,57,16,34.37329112,69.69366426,6.596719015,70.27184748,17615,Whole Year ,14072,blackgram
23,57,15,34.6008247,63.11296779,7.403623355,60.41790253,4,Whole Year ,51,blackgram
53,57,15,29.43463808,64.94329356,7.517097,72.17818157,174,Whole Year ,282,blackgram
26,57,16,29.10713092,67.90577375,7.17620823,67.83345933,13,Whole Year ,102,blackgram
33,57,22,28.57006111,65.71765781,6.593961761,70.0866434,51728,Kharif     ,4293,blackgram
37,57,19,27.54384835,69.3478631,7.143942758,69.40878198,2614,Kharif     ,3307,blackgram
33,57,21,33.04687968,68.93875631,6.690655045,62.30278274,30203,Kharif     ,1843,blackgram
22,57,20,33.95309131,69.96100028,7.423530351,61.16350463,19299,Kharif     ,12069,blackgram
20,57,17,30.11873003,60.11680815,6.578714843,71.72980375,846,Kharif     ,150,blackgram
43,57,20,29.57812712,66.17587668,7.497469256,69.43895491,4101,Kharif     ,10425,blackgram
44,57,22,27.26458947,68.01232937,7.775306272,68.91754359,733960,Kharif     ,174682,blackgram
34,57,16,31.35730791,64.24992106,7.322555223,63.85668948,1212,Kharif     ,645,blackgram
21,57,17,31.52104732,66.55723677,7.580527339,61.71111448,7190,Kharif     ,7535,blackgram
25,57,19,29.39982732,64.25510719,7.108450121,67.47677295,25447,Kharif     ,63465,blackgram
41,57,15,29.38400259,64.14928485,7.358974541,65.24194361,15,Kharif     ,117,blackgram
28,57,23,28.38686534,61.88871127,7.405176138,74.24459122,785,Kharif     ,504,blackgram
35,57,15,28.47442276,63.53604453,6.500144962,69.5274407,2757,Kharif     ,39563,blackgram
52,57,16,30.64095781,61.14508627,7.167435834,71.36947525,3,Kharif     ,1,blackgram
58,57,25,25.25596239,61.36669662,7.261791753,68.64685069,50,Kharif     ,1007,blackgram
34,57,19,32.97030511,60.18122078,7.586642101,73.44678678,1574,Kharif     ,2679,blackgram
52,57,16,33.66855394,66.60416867,7.534811833,67.32520551,37720,Kharif     ,94531,blackgram
23,57,19,32.83963757,67.99803573,7.251000789,73.40452716,1092,Kharif     ,714,blackgram
42,57,25,27.45853567,62.90020977,6.513620918,69.46020927,1656,Kharif     ,2676,blackgram
37,57,17,25.68576704,69.84354028,7.121254928,74.62068748,32,Kharif     ,17,blackgram
44,57,22,30.0328403,64.14800537,7.574561547,71.21006868,17,Rabi       ,1,blackgram
21,57,20,28.20667264,68.27085245,7.350869792,64.32887142,116,Rabi       ,147,blackgram
56,57,16,28.27265858,61.18956161,7.513151076,63.29900785,15,Rabi       ,12,blackgram
29,57,15,28.5417236,64.2020154,7.025607706,69.68862306,64,Rabi       ,83,blackgram
43,57,20,26.87187036,61.61367264,6.804253866,63.51822045,68483,Rabi       ,38008,blackgram
55,57,15,32.79766751,68.77994074,7.163043872,64.11411069,19876,Rabi       ,32696,blackgram
44,57,15,26.42333018,64.51136845,7.338929556,63.46546487,986,Rabi       ,577,blackgram
29,57,21,29.79181107,63.38789228,6.621323612,63.02169909,7907,Rabi       ,3882,blackgram
47,57,16,27.44003279,67.10464369,6.661870999,72.50669768,6208,Rabi       ,48168,blackgram
40,57,17,34.1262979,65.14877461,7.733149554,70.40795007,132,Rabi       ,79,blackgram
58,57,15,30.94908189,64.23364112,7.402891666,62.78730907,208,Rabi       ,4259,blackgram
41,57,18,28.75751783,61.02701476,6.599147298,73.37686831,1695,Rabi       ,3421,blackgram
58,57,17,27.24766491,66.10123083,7.04174124,62.31842057,10948,Rabi       ,25542,blackgram
27,57,24,28.63005477,66.770943,7.353876754,62.2737345,84,Rabi       ,63,blackgram
27,57,17,26.41768321,63.64698302,7.026795359,64.42177127,10,Rabi       ,7,blackgram
52,57,20,32.81705216,66.15665137,6.814301033,68.83924882,446,Rabi       ,313,blackgram
44,57,25,29.6321052,65.91359954,7.42160832,71.16331975,75,Rabi       ,100,blackgram
21,57,24,33.49077065,62.73317204,6.847382891,65.45328463,541,Whole Year ,267,blackgram
60,57,22,31.86847286,66.74217464,7.191522601,74.22238583,8000,Whole Year ,505176,blackgram
33,57,21,30.32992227,65.62971858,7.01285529,71.64631281,895,Whole Year ,7165320,blackgram
59,57,17,28.546224,66.31394098,7.368318809,62.83469851,2399,Whole Year ,1327,blackgram
29,57,17,30.02629908,67.88811637,7.26154329,66.47264636,18,Whole Year ,181,blackgram
59,57,18,31.65531175,60.13263713,6.52669158,66.69096751,410,Whole Year ,39186,blackgram
29,57,15,30.33499674,63.54718862,6.872594461,74.16699119,13277,Whole Year ,12094,blackgram
58,57,16,33.36984395,65.67718163,6.874142175,64.89517488,2,Whole Year ,26,blackgram
55,57,22,31.4345059,62.99303471,7.76061831,64.77651469,140,Whole Year ,226,blackgram
42,57,23,27.71678273,63.29103387,6.781841984,68.56507978,321,Whole Year ,2645,blackgram
44,57,21,32.63918668,61.3009051,7.326980454,61.83876146,558,Kharif     ,302,blackgram
38,57,25,32.7477393,67.77954584,7.453975408,63.37784443,56586,Kharif     ,8035,blackgram
32,57,15,28.05153602,63.49802189,7.604110177,43.35795377,2176,Kharif     ,1456,lentil
13,57,22,19.44084326,63.27771461,7.728832424,46.83130119,451,Kharif     ,8211,lentil
38,57,20,29.84823072,60.63872613,7.491217102,46.80452595,24154,Kharif     ,9179,lentil
11,57,17,21.36383757,69.92375891,6.633864582,46.6352865,2,Kharif     ,1,lentil
37,57,16,26.28663931,68.51966729,7.324863481,46.13833007,27566,Kharif     ,35511,lentil
29,57,18,22.17499963,62.13873825,6.410441476,53.46622584,586,Kharif     ,36,lentil
2,57,18,26.57597546,60.97876599,7.836719564,50.89110726,2736,Kharif     ,5603,lentil
6,57,21,26.58972517,66.14007674,6.139215944,50.90994463,238,Kharif     ,7606,lentil
13,57,20,19.1345771,62.57526895,6.590571088,36.46946971,708708,Kharif     ,295531,lentil
8,57,17,28.75273118,69.15640149,7.286049978,35.15426171,848,Kharif     ,589,lentil
6,57,20,25.78746268,60.2816298,6.058306161,49.14337177,7599,Kharif     ,6930,lentil
2,57,22,23.89271875,61.78779413,6.658605362,52.55730112,422,Kharif     ,3752,lentil
3,57,23,28.67408774,63.18832976,7.299360767,42.96018627,7,Kharif     ,3,lentil
27,57,24,28.42062847,61.77336343,7.815210661,49.02366803,22039,Kharif     ,63516,lentil
39,57,15,21.35499456,62.60136323,5.925391795,41.78219834,6276,Kharif     ,57601,lentil
40,57,17,21.12695586,63.18738532,6.403683619,38.71834464,481,Kharif     ,266,lentil
37,57,22,24.02037872,61.62313345,7.397546271,49.78102578,1548,Kharif     ,25393,lentil
31,57,24,25.40474421,65.8567539,7.722335992,51.92057267,447,Kharif     ,17197,lentil
22,57,22,29.03017561,64.49166566,7.475926645,54.9393771,1279,Kharif     ,17671,lentil
3,57,18,20.21368219,68.65257685,6.887130053,50.89732989,1589,Kharif     ,2336,lentil
4,57,16,29.19585548,68.01965728,7.441976825,44.93261911,22056,Kharif     ,58691,lentil
13,57,24,18.29783597,69.6897615,7.629910253,49.39111479,2106,Kharif     ,41876,lentil
12,57,20,27.41434987,63.41785982,7.336117221,44.43177543,1343,Kharif     ,1613,lentil
4,57,21,24.84063998,60.09116626,6.75020529,48.77790371,919,Kharif     ,1671,lentil
9,57,21,29.94413861,67.31323084,7.52178027,40.37113729,76,Kharif     ,6954,lentil
18,57,22,25.87990287,67.55109024,6.347379185,47.89645224,6121,Kharif     ,5197,lentil
32,57,18,20.0467711,65.84395319,7.135251532,46.05333124,10,Kharif     ,14,lentil
6,57,15,22.99451999,66.70897237,7.670178119,54.49044154,2552,Kharif     ,38561,lentil
15,57,20,25.13163619,66.92642362,7.399749291,49.04015558,65,Kharif     ,728,lentil
0,57,24,28.49584395,62.44616219,7.841496029,53.14531023,31,Kharif     ,29,lentil
30,57,22,18.28766124,69.48515056,6.254216611,48.60449438,20,Rabi       ,13,lentil
